document_id,sentence_id,start_token_id,end_token_id,split,ner_score,calibrated_score
EXP-1908-01-21-a-i0053,0,0,0,test,0.009383131749927998,0.02350751683115959
EXP-1908-01-21-a-i0053,0,1,2,test,0.12339814752340317,0.9663360714912415
EXP-1908-01-21-a-i0053,0,3,3,test,0.8969339728355408,0.9325641989707947
EXP-1908-01-21-a-i0053,0,4,4,test,4.087851721124025e-06,0.056234437972307205
EXP-1908-01-21-a-i0053,0,5,5,test,0.9855344295501709,0.9939769506454468
EXP-1908-01-21-a-i0053,0,6,8,test,0.0007020863704383373,0.0001737090351525694
EXP-1908-01-21-a-i0053,0,9,9,test,1.6973350511761964e-06,9.360384865431115e-06
EXP-1908-01-21-a-i0053,0,10,10,test,9.833139529291657e-07,0.00041590631008148193
EXP-1908-01-21-a-i0053,0,11,13,test,0.9440727829933167,0.2505059540271759
EXP-1908-01-21-a-i0053,0,14,14,test,8.833255378704052e-06,1.9342845916980878e-05
EXP-1908-01-21-a-i0053,0,15,15,test,2.7488003979669884e-06,1.8488427713236888e-06
EXP-1908-01-21-a-i0053,0,16,16,test,7.758912033750676e-06,1.5403827546833782e-06
EXP-1908-01-21-a-i0053,0,17,17,test,0.0007396289147436619,8.720484402147122e-06
EXP-1908-01-21-a-i0053,0,18,18,test,0.09351303428411484,1.4864442164252978e-05
EXP-1908-01-21-a-i0053,0,19,19,test,0.00028398921131156385,7.185672075138427e-06
EXP-1908-01-21-a-i0053,0,20,20,test,2.8282262064749375e-05,0.0006862077279947698
EXP-1908-01-21-a-i0053,0,21,21,test,6.761270014976617e-06,0.0007025760132819414
EXP-1908-01-21-a-i0053,0,22,24,test,0.9672032594680786,0.32836058735847473
EXP-1908-01-21-a-i0053,0,25,25,test,7.150441092562687e-07,1.0434248906676657e-05
EXP-1908-01-21-a-i0053,0,26,27,test,0.2752598524093628,7.646547601325437e-05
EXP-1908-01-21-a-i0053,0,28,28,test,4.907677976007108e-06,0.00011575983080547303
EXP-1908-01-21-a-i0053,0,29,29,test,1.4050639038032386e-05,0.00012127930676797405
EXP-1908-01-21-a-i0053,0,30,30,test,0.7774028778076172,0.9656825065612793
EXP-1908-01-21-a-i0053,0,31,31,test,6.902708946654457e-07,7.163175268942723e-06
EXP-1908-01-21-a-i0053,0,32,32,test,1.480395167163806e-05,0.0014592473162338138
EXP-1908-01-21-a-i0053,0,33,34,test,0.0016252920031547546,8.886889554560184e-05
EXP-1908-01-21-a-i0053,0,35,35,test,5.055117640040407e-07,2.47697280428838e-05
EXP-1908-01-21-a-i0053,0,36,36,test,6.527812729473226e-06,0.00017596271936781704
EXP-1908-01-21-a-i0053,0,37,37,test,0.8465105295181274,0.003328333841636777
EXP-1908-01-21-a-i0053,0,39,39,test,3.405928282518289e-06,1.962219187134906e-07
EXP-1908-01-21-a-i0053,0,40,40,test,5.060549028712558e-07,0.00019591290038079023
EXP-1908-01-21-a-i0053,0,41,42,test,3.0920384688215563e-06,1.2239987654538709e-06
EXP-1908-01-21-a-i0053,0,43,43,test,2.3602124201715924e-06,3.0808045266894624e-05
EXP-1908-01-21-a-i0053,0,44,44,test,0.9272778630256653,0.7931935787200928
EXP-1908-01-21-a-i0053,0,45,45,test,4.812442710999676e-08,6.29216714287395e-08
EXP-1908-01-21-a-i0053,0,46,48,test,2.513137133064447e-06,0.00015670715947635472
EXP-1908-01-21-a-i0053,0,49,49,test,1.2726383147310116e-06,0.0046442593447864056
EXP-1908-01-21-a-i0053,0,50,51,test,2.1818493678438244e-06,0.04365567862987518
EXP-1908-01-21-a-i0053,0,52,53,test,0.9868218302726746,0.22246330976486206
EXP-1908-01-21-a-i0053,0,54,54,test,4.356464614829747e-06,2.0958757886546664e-05
EXP-1908-01-21-a-i0053,0,55,59,test,0.8544062376022339,3.611616193666123e-05
EXP-1908-01-21-a-i0053,0,60,60,test,7.811969226168003e-06,0.00021664336964022368
EXP-1908-01-21-a-i0053,0,61,61,test,1.799654091882985e-05,0.03086712956428528
EXP-1908-01-21-a-i0053,0,62,63,test,0.38464298844337463,0.9454723596572876
EXP-1908-01-21-a-i0053,1,64,64,test,0.0,0.6581793427467346
EXP-1908-01-21-a-i0053,2,65,65,test,0.0007905146921984851,0.8814093470573425
EXP-1908-01-21-a-i0053,2,66,66,test,1.6452564523206092e-05,0.00568870035931468
EXP-1908-01-21-a-i0053,2,67,67,test,0.0022052640561014414,0.06284291297197342
EXP-1908-01-21-a-i0053,2,68,68,test,0.9752264022827148,0.8237491250038147
EXP-1908-01-21-a-i0053,2,69,69,test,1.740020479701343e-06,0.6918206214904785
EXP-1908-01-21-a-i0053,2,70,70,test,2.346650217077695e-05,0.005276203155517578
EXP-1908-01-21-a-i0053,2,71,71,test,0.9898248314857483,0.9714885950088501
EXP-1908-01-21-a-i0053,2,73,73,test,1.3413411579676904e-05,1.092344291464542e-06
EXP-1908-01-21-a-i0053,2,74,76,test,0.01616937853395939,0.003170943120494485
EXP-1908-01-21-a-i0053,2,77,77,test,3.5865511449628684e-07,0.10305527597665787
EXP-1908-01-21-a-i0053,3,78,78,test,1.2082227840437554e-05,9.450631068830262e-07
EXP-1908-01-21-a-i0053,3,79,79,test,2.7088487968285335e-06,1.0835232160388841e-06
EXP-1908-01-21-a-i0053,3,80,80,test,0.004826381336897612,1.152358777289919e-06
EXP-1908-01-21-a-i0053,3,81,81,test,3.064674558572733e-08,1.8631692000781186e-05
EXP-1908-01-21-a-i0053,3,82,84,test,0.9872896075248718,0.9937618374824524
EXP-1908-01-21-a-i0053,3,85,85,test,0.0003519777674227953,5.46340152141056e-06
EXP-1908-01-21-a-i0053,3,86,86,test,2.9256713874532586e-16,0.00800309982150793
EXP-1908-01-21-a-i0053,4,87,87,test,0.0013141499366611242,0.0021500661969184875
EXP-1908-01-21-a-i0053,4,88,88,test,0.7747453451156616,0.7313799858093262
EXP-1908-01-21-a-i0053,4,89,89,test,1.820445504563395e-05,8.383665317523992e-08
EXP-1908-01-21-a-i0053,4,90,90,test,1.0067678886116482e-05,6.61456667216953e-08
EXP-1908-01-21-a-i0053,4,91,91,test,0.02324259653687477,5.056004397374636e-07
EXP-1908-01-21-a-i0053,4,92,92,test,4.638168888959626e-07,7.726810622443736e-07
EXP-1908-01-21-a-i0053,4,93,93,test,2.8803286113543436e-05,5.137847983860411e-05
EXP-1908-01-21-a-i0053,4,94,94,test,0.9511421918869019,0.01691574603319168
EXP-1908-01-21-a-i0053,4,96,96,test,6.194596608111169e-06,1.8824390508598299e-06
EXP-1908-01-21-a-i0053,4,97,97,test,0.00033326001721434295,2.4398238451794896e-07
EXP-1908-01-21-a-i0053,4,98,98,test,4.349847131379647e-06,2.681485739230993e-06
EXP-1908-01-21-a-i0053,4,99,99,test,7.158520531902468e-08,5.736956723012554e-07
EXP-1908-01-21-a-i0053,4,100,101,test,0.0002594153629615903,4.744973466586089e-06
EXP-1908-01-21-a-i0053,4,102,102,test,0.006528895348310471,7.404869251104174e-08
EXP-1908-01-21-a-i0053,4,103,103,test,1.4139768609311432e-06,4.448772870091489e-06
EXP-1908-01-21-a-i0053,4,104,104,test,1.7256236333196284e-06,3.683197391524118e-08
EXP-1908-01-21-a-i0053,4,105,105,test,0.0036309477873146534,1.8977902072947472e-05
EXP-1908-01-21-a-i0053,4,106,106,test,1.411381072102813e-05,2.734364716161508e-05
EXP-1908-01-21-a-i0053,4,107,109,test,0.9951110482215881,0.9873135685920715
EXP-1908-01-21-a-i0053,4,110,110,test,1.1107542377430946e-05,2.0488336303969845e-05
EXP-1908-01-21-a-i0053,5,111,112,test,9.366797166876495e-05,1.642254346734262e-06
EXP-1908-01-21-a-i0053,5,113,113,test,8.101395998494354e-09,0.0014458347577601671
EXP-1908-01-21-a-i0053,5,114,114,test,0.0002452761691529304,0.00023282863548956811
EXP-1908-01-21-a-i0053,5,115,116,test,1.0927840321528492e-06,7.035020098555833e-05
EXP-1908-01-21-a-i0053,5,117,117,test,2.3966485969140194e-06,0.0003517720033414662
EXP-1908-01-21-a-i0053,5,118,118,test,8.068735724009457e-07,0.00014894439664203674
EXP-1908-01-21-a-i0053,5,119,120,test,0.44589224457740784,0.0005762840155512094
EXP-1908-01-21-a-i0053,5,121,121,test,6.898937954247231e-07,0.00027372088516131043
EXP-1908-01-21-a-i0053,5,122,122,test,0.00015618922770954669,7.229615675896639e-06
EXP-1908-01-21-a-i0053,5,123,123,test,5.451252036436927e-07,3.075805216212757e-05
EXP-1908-01-21-a-i0053,5,124,124,test,0.9168024063110352,0.8448891639709473
EXP-1908-01-21-a-i0053,5,125,125,test,2.2961274808580567e-12,1.0727073458838277e-05
EXP-1908-01-21-a-i0053,6,126,126,test,1.1111187632195652e-05,9.771547411219217e-06
EXP-1908-01-21-a-i0053,6,127,127,test,5.588198632722197e-07,1.8651639948075172e-06
EXP-1908-01-21-a-i0053,6,128,128,test,1.3586971363110933e-05,0.004028041381388903
EXP-1908-01-21-a-i0053,6,129,129,test,0.9951297044754028,0.9962218999862671
EXP-1908-01-21-a-i0053,6,130,130,test,1.640053994833579e-07,3.474199547781609e-05
EXP-1908-01-21-a-i0053,6,131,131,test,9.453191864849941e-07,3.4257698189321673e-06
EXP-1908-01-21-a-i0053,6,132,132,test,3.571859997464344e-05,5.090502600069158e-05
EXP-1908-01-21-a-i0053,6,133,133,test,9.1901415544271e-07,0.00011576833639992401
EXP-1908-01-21-a-i0053,6,134,134,test,1.7477837900514714e-05,0.0005558602279052138
EXP-1908-01-21-a-i0053,6,135,137,test,0.008129183202981949,0.2034831941127777
EXP-1908-01-21-a-i0053,6,138,138,test,8.72275336405437e-07,5.917548151046503e-06
EXP-1908-01-21-a-i0053,6,139,139,test,2.8566621494974243e-06,0.00221739592961967
EXP-1908-01-21-a-i0053,6,140,140,test,3.00647116091568e-07,0.0007121096714399755
EXP-1908-01-21-a-i0053,6,141,142,test,0.9588003158569336,0.9230615496635437
EXP-1908-01-21-a-i0053,6,143,143,test,4.552958543513341e-08,5.267763481242582e-05
EXP-1908-01-21-a-i0053,7,144,144,test,7.205356087069958e-05,4.304236063035205e-05
EXP-1908-01-21-a-i0053,7,145,145,test,1.4387457667908166e-05,0.0035681738518178463
EXP-1908-01-21-a-i0053,7,146,147,test,0.9769769310951233,0.26074135303497314
EXP-1908-01-21-a-i0053,7,148,149,test,3.3264022931689397e-05,0.0035644476301968098
EXP-1908-01-21-a-i0053,7,151,153,test,0.9811708927154541,0.9993265867233276
EXP-1908-01-21-a-i0053,7,154,156,test,0.9870766997337341,0.996903121471405
EXP-1908-01-21-a-i0053,7,157,157,test,2.2438211999542546e-06,2.5323011868749745e-05
EXP-1908-01-21-a-i0053,7,158,160,test,0.0011327076936140656,0.0001577972579980269
EXP-1908-01-21-a-i0053,7,161,162,test,2.0878665054624435e-06,2.2199559680302627e-05
EXP-1908-01-21-a-i0053,7,163,163,test,1.138240691034298e-06,0.00016069361299742013
EXP-1908-01-21-a-i0053,7,164,164,test,9.914894008034025e-07,0.0005402818787842989
EXP-1908-01-21-a-i0053,7,165,165,test,1.0627256415318698e-05,3.4708525618043495e-06
EXP-1908-01-21-a-i0053,7,166,168,test,0.12229987233877182,5.456543658510782e-05
EXP-1908-01-21-a-i0053,7,169,169,test,0.00013191298057790846,1.2541066098492593e-05
EXP-1908-01-21-a-i0053,7,170,172,test,0.005012838169932365,0.0010946752736344934
EXP-1908-01-21-a-i0053,7,173,173,test,1.1897283911821432e-05,8.745028026169166e-06
EXP-1908-01-21-a-i0053,7,174,174,test,1.706096009002067e-05,9.341764780401718e-06
EXP-1908-01-21-a-i0053,7,175,175,test,7.790890208525525e-07,3.674279651022516e-05
EXP-1908-01-21-a-i0053,7,176,177,test,0.001470117480494082,0.00036741996882483363
EXP-1908-01-21-a-i0053,7,179,179,test,2.0042507458128966e-06,3.6904759781464236e-07
EXP-1908-01-21-a-i0053,7,180,184,test,0.0009212435688823462,0.025790134444832802
EXP-1908-01-21-a-i0053,7,185,185,test,2.1348758309613913e-05,1.099824658012949e-05
EXP-1908-01-21-a-i0053,7,186,192,test,0.0027698324993252754,0.00019473122665658593
EXP-1908-01-21-a-i0053,7,193,194,test,0.0002225319476565346,0.000804936105851084
EXP-1908-01-21-a-i0053,7,195,195,test,7.107800774974748e-05,0.0009416680550202727
EXP-1908-01-21-a-i0053,7,196,196,test,9.385582234244794e-05,1.167496338894125e-05
EXP-1908-01-21-a-i0053,7,197,197,test,0.0005495661171153188,0.00013483826478477567
EXP-1908-01-21-a-i0053,7,198,198,test,0.06576990336179733,0.017705464735627174
EXP-1908-01-21-a-i0053,7,199,199,test,0.00023022711684461683,0.003340824507176876
EXP-1908-01-21-a-i0053,7,200,200,test,0.00029198851552791893,0.00469947187229991
EXP-1908-01-21-a-i0053,8,201,201,test,4.191500924122238e-09,3.294705311418511e-05
EXP-1908-01-21-a-i0053,8,202,203,test,0.04502301290631294,6.53253039217816e-07
EXP-1908-01-21-a-i0053,8,204,204,test,7.400393542411621e-08,3.2998057577060536e-05
EXP-1908-01-21-a-i0053,8,205,205,test,1.743247907137757e-11,0.00014393888704944402
EXP-1908-01-21-a-i0053,9,206,208,test,0.00016700210107956082,0.028696438297629356
EXP-1908-01-21-a-i0053,9,210,210,test,1.1263151691309758e-06,1.502362323435591e-07
EXP-1908-01-21-a-i0053,9,211,211,test,3.797595854848623e-05,0.00030182249611243606
EXP-1908-01-21-a-i0053,9,212,214,test,0.0013533590827137232,5.3615480283042416e-05
EXP-1908-01-21-a-i0053,9,215,215,test,1.3672877685166895e-05,4.1160510590998456e-05
EXP-1908-01-21-a-i0053,9,216,217,test,0.04661106690764427,0.0002857044746633619
EXP-1908-01-21-a-i0053,9,218,218,test,3.2395519156125374e-07,1.3246752814666252e-06
EXP-1908-01-21-a-i0053,9,219,219,test,1.2498552450779243e-06,2.211531864304561e-06
EXP-1908-01-21-a-i0053,9,220,220,test,0.0005268648383207619,9.016377589432523e-06
EXP-1908-01-21-a-i0053,9,221,221,test,1.0875721727643395e-06,3.0107112252153456e-06
EXP-1908-01-21-a-i0053,9,222,222,test,7.290326902875677e-05,0.0001288636412937194
EXP-1908-01-21-a-i0053,9,223,223,test,0.033716943114995956,0.00596169289201498
EXP-1908-01-21-a-i0053,9,224,225,test,0.7319616079330444,0.9966236352920532
EXP-1908-01-21-a-i0053,9,226,226,test,3.265747139380437e-08,0.00028936026501469314
EXP-1908-01-21-a-i0053,9,227,227,test,0.00014081310655456036,3.7316443922463804e-05
EXP-1908-01-21-a-i0053,9,228,228,test,3.141182605759241e-05,0.0001394646824337542
EXP-1908-01-21-a-i0053,9,229,229,test,1.1754390243368107e-06,0.0018992978148162365
EXP-1908-01-21-a-i0053,9,230,231,test,3.9558759453939274e-05,0.026155419647693634
EXP-1908-01-21-a-i0053,9,232,232,test,2.26582346840587e-06,0.019681164994835854
EXP-1908-01-21-a-i0053,9,233,233,test,0.8335838913917542,0.9213260412216187
EXP-1908-01-21-a-i0053,9,235,235,test,1.1783458830905147e-06,0.0001098282664315775
EXP-1908-01-21-a-i0053,9,237,237,test,0.7274578809738159,0.021400421857833862
EXP-1908-01-21-a-i0053,9,238,240,test,1.721325588732725e-07,2.4796614184197097e-07
EXP-1908-01-21-a-i0053,9,241,241,test,6.579224191227695e-06,1.2818835557482089e-06
EXP-1908-01-21-a-i0053,9,242,242,test,1.1997102774330415e-05,0.00018588923558127135
EXP-1908-01-21-a-i0053,9,243,243,test,0.0002565202594269067,0.003200818318873644
EXP-1908-01-21-a-i0053,9,244,245,test,0.00031295904773287475,1.48449987591448e-06
EXP-1908-01-21-a-i0053,9,246,246,test,3.6656761182030095e-08,9.897691597871017e-06
EXP-1908-01-21-a-i0053,9,248,248,test,3.8244806432885525e-08,6.70128283672966e-05
EXP-1908-01-21-a-i0053,9,249,249,test,0.00041307444917038083,0.024122023954987526
EXP-1908-01-21-a-i0053,9,251,251,test,0.002056728582829237,0.0008409045985899866
EXP-1908-01-21-a-i0053,9,253,253,test,4.803859354751694e-08,2.647110264319963e-08
EXP-1908-01-21-a-i0053,9,254,254,test,2.3128936845751014e-06,1.6133169467025255e-08
EXP-1908-01-21-a-i0053,9,255,256,test,0.0027840512339025736,3.7300314943422563e-06
EXP-1908-01-21-a-i0053,9,257,257,test,2.4384739560900925e-08,2.9921722671133466e-05
EXP-1908-01-21-a-i0053,10,258,260,test,0.002208990976214409,0.2081371396780014
EXP-1908-01-21-a-i0053,10,261,263,test,0.9041547179222107,0.9240686297416687
EXP-1908-01-21-a-i0053,10,264,264,test,2.7807334845419973e-05,3.2040945370681584e-05
EXP-1908-01-21-a-i0053,10,265,265,test,1.0014293820859166e-06,1.767485741765995e-06
EXP-1908-01-21-a-i0053,10,266,266,test,5.632070951833157e-07,5.177441562409513e-05
EXP-1908-01-21-a-i0053,10,267,267,test,0.00012335080828052014,0.0011167257325723767
EXP-1908-01-21-a-i0053,10,268,268,test,1.428855512131122e-06,0.00011343788355588913
EXP-1908-01-21-a-i0053,10,269,271,test,0.9866543412208557,0.9994078874588013
EXP-1908-01-21-a-i0053,10,272,272,test,1.0596652089134295e-07,0.00014073002967052162
EXP-1908-01-21-a-i0053,10,273,273,test,3.3135188459709752e-06,0.009378978982567787
EXP-1908-01-21-a-i0053,10,274,277,test,2.4933062377385795e-05,2.446104190312326e-05
EXP-1908-01-21-a-i0053,10,278,278,test,2.668437275588076e-07,0.000452507782028988
EXP-1908-01-21-a-i0053,10,279,281,test,0.22288595139980316,3.0496994440909475e-05
EXP-1908-01-21-a-i0053,10,283,283,test,3.220699227313162e-07,5.010891612755586e-08
EXP-1908-01-21-a-i0053,10,284,284,test,0.000834830105304718,2.6838477424462326e-05
EXP-1908-01-21-a-i0053,10,285,285,test,4.445530315394519e-12,2.8974782253499143e-05
EXP-1908-01-21-a-i0053,11,286,286,test,0.10059111565351486,0.6922083497047424
EXP-1908-01-21-a-i0053,11,287,291,test,1.2854857232014183e-05,8.139986675814725e-06
EXP-1908-01-21-a-i0053,11,292,292,test,2.1711939268698188e-07,6.382518040481955e-05
EXP-1908-01-21-a-i0053,11,293,293,test,4.744515536003746e-08,6.278224873312865e-07
EXP-1908-01-21-a-i0053,11,294,294,test,7.13248155079782e-05,9.707024219096638e-06
EXP-1908-01-21-a-i0053,11,295,295,test,1.3725297094424604e-06,0.005353872198611498
EXP-1908-01-21-a-i0053,11,296,298,test,0.9795678853988647,0.9979621171951294
EXP-1908-01-21-a-i0053,11,299,299,test,7.245024025159807e-10,0.00016930319543462247
EXP-1908-01-21-a-i0053,12,300,300,test,0.0015942848986014724,0.17038355767726898
EXP-1908-01-21-a-i0053,12,301,303,test,0.9866776466369629,0.9989539384841919
EXP-1908-01-21-a-i0053,12,305,305,test,0.0006118760211393237,0.004052333999425173
EXP-1908-01-21-a-i0053,12,306,306,test,3.1184578119791695e-07,0.0021385459695011377
EXP-1908-01-21-a-i0053,12,307,307,test,1.3962904631625861e-05,0.001681543537415564
EXP-1908-01-21-a-i0053,12,308,312,test,0.3619035482406616,0.015533284284174442
EXP-1908-01-21-a-i0053,12,313,313,test,1.5411833942380326e-07,0.00032878603087738156
EXP-1908-01-21-a-i0053,12,314,314,test,5.856153165950673e-06,1.1668979595924611e-06
EXP-1908-01-21-a-i0053,12,315,315,test,5.470192263601348e-07,2.360208100071759e-06
EXP-1908-01-21-a-i0053,12,316,316,test,0.00016970388242043555,1.142232576967217e-06
EXP-1908-01-21-a-i0053,12,317,317,test,2.9948778319521807e-06,5.455032692225359e-07
EXP-1908-01-21-a-i0053,12,318,320,test,0.5357903838157654,6.076435238355771e-05
EXP-1908-01-21-a-i0053,12,321,321,test,1.3202925401856191e-06,5.983797564113047e-06
EXP-1908-01-21-a-i0053,12,322,323,test,0.9248055815696716,0.011064723134040833
EXP-1908-01-21-a-i0053,12,325,325,test,6.28673024039017e-06,1.1740653462766204e-06
EXP-1908-01-21-a-i0053,12,326,326,test,0.0001132071774918586,8.517911851413373e-07
EXP-1908-01-21-a-i0053,12,327,327,test,0.3737746477127075,2.7597521693678573e-05
EXP-1908-01-21-a-i0053,12,328,328,test,3.0766984764341032e-06,6.188298584675067e-08
EXP-1908-01-21-a-i0053,12,329,330,test,0.1348748356103897,8.288053504657e-05
EXP-1908-01-21-a-i0053,12,331,333,test,0.9726334810256958,0.9962244033813477
EXP-1908-01-21-a-i0053,12,334,338,test,0.001222982071340084,7.153565206863277e-07
EXP-1908-01-21-a-i0053,12,339,339,test,1.4157383598778495e-10,4.797744259121828e-05
EXP-1908-01-21-a-i0053,13,340,342,test,0.9976772665977478,0.9972495436668396
EXP-1908-01-21-a-i0053,13,343,343,test,0.00013262496213428676,8.176136907422915e-05
EXP-1908-01-21-a-i0053,13,344,344,test,3.6711343165081444e-19,0.00033244671067222953
EXP-1908-01-21-a-i0053,14,345,346,test,1.4029897101863753e-05,5.980340574751608e-06
EXP-1908-01-21-a-i0053,14,347,347,test,0.00023801441420800984,8.496370719512925e-05
EXP-1908-01-21-a-i0053,14,348,348,test,4.157404418947408e-06,0.00012246478581801057
EXP-1908-01-21-a-i0053,14,349,351,test,0.9761531352996826,0.996977686882019
EXP-1908-01-21-a-i0053,14,352,352,test,3.977995220338926e-06,9.423912706552073e-05
EXP-1908-01-21-a-i0053,14,354,356,test,0.08254043757915497,8.04843584774062e-05
EXP-1908-01-21-a-i0053,14,357,357,test,0.0013038557954132557,8.865010022418573e-05
EXP-1908-01-21-a-i0053,14,358,359,test,0.9626146554946899,0.9993058443069458
EXP-1908-01-21-a-i0053,14,360,360,test,1.6374001461372245e-06,1.4979667867009994e-05
EXP-1908-01-21-a-i0053,14,361,361,test,0.0004349185328464955,0.0053603919222950935
EXP-1908-01-21-a-i0053,14,363,363,test,0.001532271970063448,0.004062905441969633
EXP-1908-01-21-a-i0053,14,364,364,test,8.278234986391908e-07,1.0185421160713304e-05
EXP-1908-01-21-a-i0053,14,365,365,test,0.23983025550842285,0.012723589316010475
EXP-1908-01-21-a-i0053,14,366,366,test,5.941402559983544e-05,2.7854733275489707e-07
EXP-1908-01-21-a-i0053,14,367,367,test,0.022408148273825645,0.0001366958604194224
EXP-1908-01-21-a-i0053,14,369,369,test,1.4148050695439451e-06,0.00017885290435515344
EXP-1908-01-21-a-i0053,14,370,371,test,0.0005138168926350772,0.0012357367668300867
EXP-1908-01-21-a-i0053,14,373,377,test,0.019933799281716347,0.0005418300861492753
EXP-1908-01-21-a-i0053,14,378,378,test,2.3446775230695494e-05,2.915252662205603e-05
EXP-1908-01-21-a-i0053,14,379,379,test,0.01121545024216175,0.0003861359436996281
EXP-1908-01-21-a-i0053,14,380,381,test,0.00075280707096681,0.0005227703950367868
EXP-1908-01-21-a-i0053,14,382,382,test,2.149669455775438e-07,0.003414160804823041
EXP-1908-01-21-a-i0053,15,383,383,test,0.13206689059734344,0.03595362603664398
EXP-1908-01-21-a-i0053,15,384,384,test,1.1521440052009169e-11,0.23998603224754333
EXP-1908-01-21-a-i0053,16,385,386,test,3.837364420178346e-05,0.004728362429887056
